Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
12	770	5	49	37	19	49.9	29.9	25.9
11	664	4	18	48	13	14.9	47.9	18.1
10	664	7	49	44	15	50.4	42.3	22.5
9	463	10	15	40	35	16	43.3	39.5
8	410	8	48	48	12	48.6	49.8	17.8
7	381	11	15	50	25	13.5	51.1	29.2
6	367	15	17	27	14	18.2	29	17.8
5	276	17	22	39	16	23.2	41.6	18.7
4	220	6	51	36	20	53.3	36.8	25.1
3	180	3	12	35	21	9.67	33.7	25.8
2	113	13	19	54	20	16	54	22.2
1	76	14	20	34	26	20	34.6	28.4
